features,scaled,rand,sse,sil,fm,clusters
Humidity3pm,0,0.5319172932330827,5265.748761603161,0.06928400210717925,0.3321610323436275,7
Pressure9am,1,0.506077694235589,17.6917649865039,0.0022826745850192255,0.3386226660761218,7
Pressure9am,0,0.506077694235589,811.2653153677412,0.0022826745850192255,0.3386226660761218,7
Pressure3pm,1,0.5039974937343359,17.094140802489402,0.014919323430965213,0.3361552049334908,7
Pressure3pm,0,0.5039974937343359,784.5846550458886,0.014919323430965213,0.3361552049334908,7
Temp9am,1,0.5059649122807017,16.158619068689543,0.0008651539318992943,0.2901492088430996,7
Temp9am,0,0.5059649122807017,585.1376442510377,0.0008651539318992943,0.2901492088430996,7
Temp3pm,1,0.5131077694235588,16.7498495528065,0.008111768426273366,0.31992358259171827,7
Temp3pm,0,0.5131077694235588,800.6169027280657,0.008111768426273366,0.31992358259171827,7
RainToday,1,0.5789473684210527,6.5512432988276215e-28,0.24431896409749673,0.6098040248179332,7
RainToday,0,0.5789473684210527,0.0,0.24431896409749673,0.6098040248179332,7
phi,1,0.5396365914786967,7.7027857716600145,0.08103808882682799,0.42014559506346905,7
phi,0,0.5396365914786967,9.89408435860735,0.08103808882682799,0.42014559506346905,7
rho,1,0.5314160401002507,3.4307221480818835,0.06797548385793244,0.4096249234256006,7
rho,0,0.5314160401002507,141.39922249677977,0.06797548385793244,0.4096249234256006,7
all,1,0.5795488721804511,4587.581734407801,0.08836768800150148,0.42713979114780687,7
all,0,0.4995739348370927,3607825.6304107863,-0.002424837854016593,0.2987870293408569,7
MinTemp,1,0.5044486215538847,9.597776656031842,0.0015372449917473014,0.2717988139088985,8
MinTemp,0,0.5044486215538847,371.17051376341306,0.0015372449917473014,0.2717988139088985,8
MaxTemp,1,0.5062155388471178,12.801320902886905,0.002227584213246825,0.29175776005899706,8
MaxTemp,0,0.5062155388471178,652.817088357275,0.002227584213246825,0.29175776005899706,8
Rainfall,1,0.5519423558897243,2.3660834113156355,0.1596560130281288,0.5830621527341134,8
Rainfall,0,0.5519423558897243,490.22278649932707,0.1596560130281288,0.5830621527341134,8
WindGustDir,1,0.5005513784461153,5.013867321558122,0.0031019114681819005,0.25950818161522554,8
WindGustDir,0,0.5008020050125314,53056.51486178821,0.0001944980095827134,0.2609552216029938,8
WindGustSpeed,1,0.5009649122807017,11.95045977143164,-0.003421410176847145,0.2831468024059475,8
WindGustSpeed,0,0.5009649122807017,2265.77285063659,-0.003421410176847145,0.2831468024059475,8
WindDir9am,1,0.501077694235589,5.200559420804579,0.01033461689781539,0.2592245631135858,8
WindDir9am,0,0.501077694235589,53401.31095162677,0.01033461689781539,0.2592245631135858,8
WindDir3pm,1,0.5001503759398497,5.096924270760481,0.002024439028223657,0.2538428217710913,8
WindDir3pm,0,0.49976190476190474,57596.346142521295,0.002094927430747839,0.25432394585906115,8
WindSpeed9am,1,0.4994360902255639,9.722648774523346,-0.0025344347608141724,0.27651569915473984,8
WindSpeed9am,0,0.4994360902255639,783.1637052864262,-0.0025344347608141724,0.27651569915473984,8
WindSpeed3pm,1,0.4993859649122807,11.945363669133162,-0.0010660105287295973,0.2768783501971181,8
WindSpeed3pm,0,0.4993859649122807,1042.039042230514,-0.0010660105287295973,0.2768783501971181,8
Humidity9am,1,0.5128070175438596,9.569682995981323,0.01388570033964891,0.29609052279210873,8
Humidity9am,0,0.5128070175438596,2796.19677169856,0.01388570033964891,0.29609052279210873,8
Humidity3pm,1,0.5281203007518797,8.024384923769503,0.016619296623627034,0.3073174006442938,8
Humidity3pm,0,0.5281954887218046,4019.9712686542816,0.01841307441376215,0.30775731781027527,8
Pressure9am,1,0.5059398496240601,12.42233251680733,0.0023980342262315316,0.3043158852065834,8
Pressure9am,0,0.5059398496240601,569.6326802067778,0.0023980342262315316,0.3043158852065834,8
Pressure3pm,1,0.50265664160401,12.295357120252962,0.006952275687257421,0.304941734847675,8
Pressure3pm,0,0.50265664160401,564.3307046736641,0.006952275687257421,0.304941734847675,8
Temp9am,1,0.505889724310777,12.17132278351569,0.004045513276077881,0.28118689892515375,8
Temp9am,0,0.505889724310777,440.74924414583256,0.004045513276077881,0.28118689892515375,8
Temp3pm,1,0.5121679197994987,12.769744380510755,0.01116107177320378,0.296885077204951,8
Temp3pm,0,0.5121679197994987,610.3740312605154,0.01116107177320378,0.296885077204951,8
RainToday,1,0.5789473684210527,5.528682350434885e-28,0.24431896409749673,0.6098040248179332,8
RainToday,0,0.5789473684210527,0.0,0.24431896409749673,0.6098040248179332,8
phi,1,0.5387468671679198,4.130731452929228,0.040289981187737724,0.3802319865916331,8
phi,0,0.5387468671679198,5.3058473479039385,0.040289981187737724,0.3802319865916331,8
rho,1,0.5346616541353384,2.357107716440873,0.0805837795731097,0.39628517145273656,8
rho,0,0.5346616541353384,97.14957494655864,0.0805837795731097,0.39628517145273656,8
all,1,0.5596741854636591,4427.5584367282445,0.05843721845282382,0.3790925846707768,8
all,0,0.49963659147869677,3208310.89707357,-0.002445208498624411,0.2808091883192235,8
MinTemp,1,0.5041979949874686,7.8981274396718115,0.0037770154686224463,0.25375249169653813,9
MinTemp,0,0.5041979949874686,305.4407416023299,0.0037770154686224463,0.25375249169653813,9
MaxTemp,1,0.506077694235589,9.594670262602541,0.009270637653291535,0.27830590257596216,9
MaxTemp,0,0.506077694235589,489.290499948938,0.009270637653291535,0.27830590257596216,9
Rainfall,1,0.5517543859649123,1.753612270590333,0.20090994883345462,0.5828063416131595,9
